Year,Count
1999,15491
2000,15678
2001,15791
2002,16285
2003,17207
2004,17620
2005,18345
2006,19982
2007,21648
2008,23202
2009,24728
2010,26600
2011,28120
2012,29504
2013,30026
2014,30132
2015,29713
2016,28606
